Document,FinBERT_Negative,FinBERT_Neutral,FinBERT_Positive,LM_Positive,LM_Negative,LM_Polarity,LM_Subjectivity,VADER_Negative,VADER_Neutral,VADER_Positive,VADER_Compound,SBN_Negative,SBN_Neutral,SBN_Positive,SBN_Compound,COVID_Related_Frequency,COVID_Contextual_Positive_Frequency,COVID_Contextual_Negative_Frequency,Sentence
LOW,0.18392969331773068,0.5232032585026766,0.29286704507345956,0.2988929889298893,0.3948339483394834,-0.06777361991190323,0.03835670411915051,0.052819188191881916,0.7644833948339483,0.18269372693726937,0.27512841328413284,0.07365682656826568,0.552129151291513,0.374239852398524,0.29343431734317343,0.04428044280442804,0.04059040590405904,0.014760147601476014,271
LRCX,0.17783901223644488,0.689372127236388,0.13278886068107212,0.2245762711864407,0.3305084745762712,-0.07590792509431826,0.030072055655048613,0.057686440677966105,0.7640084745762712,0.17829661016949153,0.2638343220338983,0.07202542372881357,0.5975042372881356,0.3304745762711865,0.3124199152542373,0.01694915254237288,0.012711864406779662,0.01694915254237288,236
MCD,0.23219199839525617,0.624768398937586,0.1430396012426425,0.30622489959839355,0.5301204819277109,-0.07307245739172526,0.046176033349535565,0.06324497991967871,0.7700933734939759,0.16666164658634539,0.24004437751004018,0.08194578313253012,0.5998534136546184,0.31819678714859434,0.2683943775100402,0.04618473895582329,0.023092369477911646,0.02108433734939759,996
MDLZ,0.21045883747466335,0.5016708571150991,0.2878703052007259,0.41291291291291293,0.6066066066066066,-0.0702423640626043,0.04977576096669215,0.05780780780780781,0.7821936936936937,0.15999699699699702,0.24226726726726727,0.0879099099099099,0.5686666666666667,0.3434354354354354,0.27250045045045046,0.07657657657657657,0.06006006006006006,0.04354354354354354,666
MDT,0.2553634497216682,0.47302640038068894,0.27161014946355183,0.3333333333333333,0.4625,-0.0787499387167447,0.0428180619730431,0.04693541666666667,0.7704145833333332,0.18262708333333333,0.2852645833333333,0.07289999999999999,0.6051979166666667,0.3219041666666667,0.27284708333333335,0.14375,0.10208333333333333,0.06458333333333334,480
META,0.15515726522355136,0.6279305819302752,0.21691215156986401,0.16119402985074627,0.3522388059701492,-0.1074626095025521,0.03171012754909979,0.04471044776119403,0.7805611940298507,0.17471940298507463,0.25639432835820897,0.05528358208955224,0.5900119402985075,0.35467164179104477,0.32511940298507463,0.041791044776119404,0.03880597014925373,0.029850746268656716,335
MMC,0.16723780359786292,0.6465880051746473,0.18617419124386467,0.20043572984749455,0.29411764705882354,-0.05475666990684839,0.02884964229940184,0.05147494553376906,0.7908126361655774,0.15771459694989107,0.23031786492374728,0.06840522875816993,0.6129150326797385,0.31871241830065355,0.2664082788671024,0.05228758169934641,0.04139433551198257,0.026143790849673203,459
MRK,0.18592322720898746,0.6180133891573418,0.1960633828523069,0.28751753155680226,0.4375876577840112,-0.079359459643374,0.04071710865846847,0.059127629733520336,0.768796633941094,0.170671809256662,0.253181206171108,0.07518793828892006,0.5720827489481065,0.3513239831697055,0.3144566619915849,0.10799438990182328,0.08274894810659186,0.04628330995792426,713
MS,0.09276876369941696,0.7551845583378884,0.15204667678525488,0.18734177215189873,0.3329113924050633,-0.0654008005319371,0.026630576262935152,0.04778354430379747,0.7129518987341772,0.1671164556962025,0.26324746835443036,0.05421772151898734,0.5313,0.3423379746835443,0.3269313924050633,0.021518987341772152,0.012658227848101266,0.012658227848101266,790
MSFT,0.13769989769520613,0.46982271148540905,0.39247739331654297,0.24376731301939059,0.22160664819944598,0.020036917037565757,0.029285053733495398,0.049975069252077564,0.7416204986149585,0.20562880886426593,0.2933421052631579,0.05938781163434903,0.5289529085872576,0.4088642659279778,0.3420393351800554,0.024930747922437674,0.01662049861495845,0.019390581717451522,361
MU,0.2451863118869505,0.6168484621655161,0.13796522201987627,0.18055555555555555,0.4305555555555556,-0.15432087564309654,0.03467309723691351,0.04525,0.7926388888888889,0.162125,0.27980787037037036,0.07781018518518518,0.5567546296296296,0.3654351851851852,0.30147407407407406,0.027777777777777776,0.023148148148148147,0.009259259259259259,216
NEE,0.1318819717387371,0.7519448005315631,0.11617323136447794,0.17206982543640897,0.33915211970074816,-0.09836512583516502,0.024987201427066355,0.04910972568578554,0.7581546134663342,0.19274314214463842,0.34347855361596014,0.08092768079800498,0.5851122194513716,0.33396508728179547,0.31504139650872814,0.004987531172069825,0.0,0.0024937655860349127,401
NFLX,0.1694036768109072,0.6584176240139641,0.17217870401218532,0.2625,0.2125,0.06458326545145748,0.029460117012527848,0.0474875,0.7801250000000001,0.17235625000000002,0.30098625,0.06517500000000001,0.5562,0.37863125000000003,0.345534375,0.05,0.03125,0.0375,160
NKE,0.2684050907485677,0.533013304066696,0.19858160420694643,0.24116424116424118,0.5218295218295218,-0.16760208973994878,0.03762558534898188,0.05553638253638254,0.8036756756756757,0.1387089397089397,0.21223014553014555,0.07462162162162163,0.5884760914760915,0.3347941787941788,0.30978024948024946,0.08523908523908524,0.06652806652806653,0.05197505197505198,481
NOW,0.15665203088983184,0.6712631690094158,0.17208479853468903,0.21176470588235294,0.24705882352941178,0.011764677859511215,0.026793933638106903,0.038347058823529415,0.829429411764706,0.13221176470588233,0.23060911764705883,0.05437647058823529,0.6211970588235294,0.3244352941176471,0.3165117647058824,0.058823529411764705,0.03235294117647059,0.041176470588235294,340
NVDA,0.20782196334956182,0.616996690458645,0.17518134724693318,0.19553072625698323,0.2737430167597765,-0.05865916876168298,0.027182144697464192,0.05097206703910615,0.7937486033519553,0.15526256983240225,0.22860391061452512,0.051703910614525145,0.605608938547486,0.34270391061452515,0.3241195530726257,0.01675977653631285,0.00558659217877095,0.01675977653631285,179
ORCL,0.18323246321212117,0.6662900096237048,0.1504775302817832,0.14912280701754385,0.3304093567251462,-0.08815087046308259,0.022820529598072403,0.03821637426900585,0.8199093567251462,0.13893567251461988,0.2775324561403509,0.054032163742690056,0.5678508771929824,0.3751900584795322,0.3889950292397661,0.03508771929824561,0.017543859649122806,0.02631578947368421,342
PANW,0.15670851834642027,0.6429376226163791,0.20035385593665878,0.18374558303886926,0.33568904593639576,-0.06054178773460169,0.03135909109924785,0.0529469964664311,0.7807597173144877,0.16628975265017668,0.2706911660777385,0.0635017667844523,0.5698975265017668,0.3666148409893993,0.3425378091872791,0.04946996466431095,0.038869257950530034,0.028268551236749116,283
PEP,0.13270736571985856,0.722099625363784,0.14519300930455525,0.29575021682567215,0.3642671292281006,-0.025226612533762155,0.03257544771085952,0.045311361665221164,0.7659150043365135,0.18878317432784042,0.32300659150043365,0.07092107545533391,0.5757484822202948,0.35331396357328704,0.30726339982653944,0.05290546400693842,0.0372940156114484,0.02515177797051171,1153
PFE,0.1547623770467737,0.6627676510324981,0.18246997179050975,0.41814159292035397,0.4579646017699115,-0.014680770017479777,0.041260229776035016,0.04605530973451327,0.7925508849557522,0.15475442477876106,0.27863252212389383,0.06794469026548672,0.5768628318584071,0.3485442477876106,0.3363528761061947,0.10176991150442478,0.07079646017699115,0.05088495575221239,452
PG,0.1895075241966737,0.4961484580853276,0.31434401722884076,0.3531202435312024,0.3896499238964992,-0.026585465576115356,0.04093313361948454,0.036745814307458144,0.7395433789954338,0.2237229832572298,0.3608512937595129,0.06873972602739725,0.5387092846270929,0.3925296803652968,0.32754946727549467,0.0974124809741248,0.0806697108066971,0.0502283105022831,657
PLD,0.10363886884546705,0.775544658569353,0.12081647152524619,0.2920634920634921,0.2507936507936508,0.014841262541561222,0.027891591507684207,0.06453968253968254,0.7782730158730159,0.15718412698412698,0.22466444444444444,0.08586666666666666,0.572031746031746,0.3420888888888889,0.24328603174603172,0.015873015873015872,0.012698412698412698,0.009523809523809525,315
PM,0.16664735060993366,0.659452070235775,0.17390058010934592,0.21437908496732025,0.46797385620915033,-0.12793234188572192,0.0344763525682449,0.050709803921568625,0.8103542483660131,0.13893986928104576,0.18930915032679738,0.07620522875816993,0.628556862745098,0.2952444444444444,0.22041254901960786,0.07320261437908497,0.054901960784313725,0.044444444444444446,765
QCOM,0.2071989300991926,0.6207472090340322,0.1720538590186172,0.30869565217391304,0.508695652173913,-0.0992103723452261,0.039261608013655344,0.06976521739130434,0.7626652173913044,0.16757391304347827,0.24446347826086956,0.07894782608695652,0.5887,0.33235652173913044,0.2877704347826087,0.08260869565217391,0.06086956521739131,0.06521739130434782,230
REGN,0.14261462213471532,0.6818626504906788,0.17552272389779094,0.5551181102362205,0.33070866141732286,0.08526430543406963,0.04393189836163134,0.039885826771653546,0.7598661417322835,0.19631102362204725,0.35273740157480316,0.04694094488188976,0.5448818897637796,0.404248031496063,0.3958330708661417,0.05905511811023622,0.03937007874015748,0.03543307086614173,254
